volcano_number,volcano_name,country,latitude,longitude,vei,start_year,start_day,eruption_times,eruption_start_time,eruption_start_time_numeric,eruption_start_time_numeric_full,eruption_frequency,primary_volcano_type
357066,Payun Matru,Argentina,-36.422,-69.241,0.0,-5050.0,0.0,1,5050-BCE-00-00,-5050.083333333333,-5049.997260273973,Low (0-2),Shield
360120,Pelee,France,14.809,-61.165,3.0,1929.0,16.0,54,1929-09-16,1929.7104686815596,1929.710502283105,High (>10),Stratovolcanoes
263291,Penanggungan,Indonesia,-7.616,112.62,2.0,200.0,0.0,1,0200-00-00,199.91666666666663,200.0027397260274,Low (0-2),Stratovolcanoes
390031,Penguin Island,Antarctica,-62.1,-57.93,2.0,1905.0,0.0,3,1905-00-00,1904.9166666666667,1905.0027397260276,Medium (3-10),Stratovolcanoes
263040,Perbakti-Gagak,Indonesia,-6.75,106.7,1.0,1939.0,6.0,7,1939-04-06,1939.2664257555848,1939.2664383561644,Medium (3-10),Stratovolcanoes
261030,Peuet Sague,Indonesia,4.903,96.289,2.0,2000.0,25.0,7,2000-12-25,2000.9851073149364,2000.985159817352,Medium (3-10),Complex
382020,Pico,Portugal,38.47,-28.4,0.0,1963.0,15.0,4,1963-12-15,1963.9577310556283,1963.9577625570776,Medium (3-10),Stratovolcanoes
382081,Picos Volcanic System,Portugal,37.78,-25.67,2.0,1652.0,19.0,7,1652-10-19,1652.802014892685,1652.8020547945205,Medium (3-10),Craters and Cones
344080,"Pilas, Las",Nicaragua,12.495,-86.688,2.0,1954.0,29.0,3,1954-10-29,1954.829391151993,1954.8294520547945,Medium (3-10),Complex
341001,Pinacate,Mexico,31.772,-113.498,2.0,1934.0,31.0,2,1934-12-31,1935.0015330705207,1935.001598173516,Low (0-2),Craters and Cones
273083,Pinatubo,Philippines,15.13,120.35,1.0,1993.0,16.0,8,1993-02-16,1993.127135348226,1993.127168949772,Medium (3-10),Stratovolcanoes
357040,Planchon-Peteroa,Chile,-35.223,-70.568,1.0,2018.0,7.0,24,2018-11-07,2018.852496714849,2018.8525114155248,High (>10),Stratovolcanoes
360110,"Plat Pays, Morne",Dominica,15.255,-61.341,2.0,1270.0,0.0,4,1270-00-00,1269.9166666666667,1270.0027397260274,Medium (3-10),Stratovolcanoes
